,SOLUSDT,LTCUSDT,Spread,Zscore
325,132.791,77.95,-5.180500000000023,0.3140931109821714
326,136.375,78.91,-3.2956999999999823,0.7281019082837239
327,139.36520501,79.68846976,-1.6833864651999875,1.0448598772232338
328,139.00095825,78.9,-0.6520417500000235,1.2282500801903609
329,144.986,81.4,0.907999999999987,1.662927640268257
330,143.266,80.72,0.39159999999998263,1.4630631605018825
331,144.139,81.13,0.5389000000000124,1.3717982475978343
332,143.38937129,80.92292494,0.15579414620000875,1.181404166998267
333,144.917,81.07301856,1.417757148800007,1.6170338079570532
334,144.36857307,81.15210878,0.729340529399991,1.219366178765736
335,143.87342057,81.21373759,0.12510503570001674,0.8797015773959257
336,144.243,81.18294777,0.5491824471000086,0.9703290168175777
337,145.498,81.01814135,2.0958898105000117,1.514954891615036
338,146.17127961,81.55680265,1.8157389195000064,1.2542844878452046
339,145.727,81.56,1.3658000000000072,0.9621144692764908
340,146.29589392,81.80485169,1.5013064286999906,0.9281723279918337
341,144.75936361,81.1109954,1.1929017520000116,0.7178308833667923
342,145.45146083,81.53117161,1.1412870803000033,0.6490339775861952
343,142.97,81.11,-0.5946999999999889,-0.11639958929048357
344,144.463,81.41,0.3673000000000002,0.23427754480187837
345,143.60160394,81.20440177,-0.13018719290002423,-0.15129541173817249
346,142.454,80.8222657,-0.6014102890000004,-0.762403443361786
347,140.79308258,80.57136919,-1.8182408863000035,-2.1139327930684746
348,142.00257304,81.32350402,-1.9400290754000196,-2.1630011615277853
349,142.596,81.31,-1.3226999999999975,-1.5067632510906341
350,142.3416856,82.44396876,-3.584139105199995,-2.6538824910502807
351,144.82096171,82.02448526,-0.36237720020000097,-0.3450461347376794
352,143.62660204,82.26,-1.9735979600000064,-1.3351354820224592
353,143.87462115,82.62,-2.362778850000012,-1.4330064229478092
354,143.452,82.45,-2.484499999999997,-1.357475554725514
355,142.34162539,82.75,-4.125874610000011,-2.0054537026536936
356,141.02,82.639987,-5.252776990000001,-2.169315785922891
357,141.2353628,82.36,-4.541837200000003,-1.604560008104564
358,141.465,82.42119184,-4.420509556799999,-1.4095091338415175
359,142.23803679,82.55073524,-3.876764584799986,-1.065335042596187
360,142.48571073,82.63,-3.769389270000005,-0.9283109340644106
361,142.85459265,82.54035795,-3.2418409214999997,-0.6009346935824863
362,147.14242378,83.78009403,-1.148342653100002,0.5813946478831794
363,147.359,84.03,-1.3740999999999985,0.5722130658906515
364,150.516,85.46,-0.7481999999999971,0.9629326184735257
365,150.459,85.18,-0.3096000000000174,1.2908382248806975
366,151.148,85.10263043,0.5163441388999956,1.7375618550437253
367,151.20932442,85.1686176,0.46087126800000533,1.6030639844713437
368,150.638,85.30910541,-0.3591165756999999,1.0511491372686432
369,149.13807521,84.69414897,-0.7705684668999879,0.772615841870057
370,151.17564332,84.99491812,0.7346382476000031,1.4792631835846664
371,148.585,84.24,-0.5197999999999752,0.7371346685902891
372,149.36817359,84.65,-0.46232641000000285,0.7719770784925867
373,151.972,85.03,1.4688999999999908,1.5977471383713264
374,150.59358185,84.88164331,0.35307319129998405,0.9568087906894049
375,150.833,84.91,0.5423000000000116,0.9593571937331044
376,150.33526175,85.39,-0.8050382499999955,0.2516466248831398
377,150.93,85.42,-0.2633999999999901,0.4487283689685049
378,151.04598597,85.48203715,-0.25721978549998425,0.3762870196324188
379,151.55561399,85.26423429,0.6379192967000051,0.8808970679127303
380,150.951,85.18,0.1823999999999728,0.49876149640838513
381,150.945,85.08800365,0.33923353949998614,0.5886965914666573
382,151.38581306,85.11217655,0.737260566499998,1.0864486637457778
383,150.02366154,84.5051313,0.4495791390000079,0.6168443853767633
384,148.852,83.89,0.3667000000000087,0.42252881543431003
385,149.05,83.98,0.4054000000000144,0.41631522840152696
386,150.1,84.37,0.7650999999999897,0.943047287560557
387,147.83,83.43000635,0.15888876050001954,-0.06811642374663118
388,148.872,83.79,0.5637000000000114,0.6197090268254315
389,148.55,83.59,0.5956999999999937,0.6058305548558774
390,147.93608192,83.66646393,-0.15355923610002264,-0.8108994938958195
391,149.192,84.4,-0.19599999999999795,-0.8091600977954488
392,148.87048968,84.42,-0.5529103200000236,-1.4715705018914762
393,148.906,84.37,-0.4288999999999987,-1.2470875930202983
394,148.75173933,84.12647583,-0.15212288910001348,-0.6780617676534497
395,148.87125262,84.28,-0.30434737999999584,-0.9266864579903521
396,148.00367834,84.726574,-1.9623576399999934,-3.0770312114410396
397,147.355,84.31,-1.8737000000000137,-2.465378633741862
398,150.262,85.33,-0.7720999999999947,-0.9281219326790172
399,150.8299018,85.22639143,-0.020811031100038235,0.048981893549543264
400,153.14353929,85.60515612,1.6224129576000053,1.9712729633686563
401,154.864,85.53770549,3.4622612827000125,2.9524238158958562
402,153.501,84.84380183,3.3274707608999847,2.300989324355219
403,152.549,84.95,2.1875,1.3245300555827597
404,153.83,85.11221908,3.1813722283999937,1.7800984619792724
405,153.982,84.95250315,3.6160694245000116,1.7920420693040837
406,153.188,84.70380354,3.2622677341999804,1.4166430258149054
407,154.08891687,84.94476648,3.736680200400002,1.507558611175669
